"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"file_source","String","1024","Required","","File name/location","","",""
"omics_qa_01_id","Integer","","Required","","Unique ID for OMICS_QA_01 Structure","","",""
"experiment_id","Integer","","Required","","ID for the Experiment/settings/run","","",""
"qplot_ver","String","50","Recommended","","QPLOT Software version","","",""
"qplot_p1","Float","","Conditional","notNull(qplot_ver)","QPLOT:Total Reads (e6)","","",""
"qplot_p2","Float","","Conditional","notNull(qplot_ver)","QPLOT:MappingRate (%)","","",""
"qplot_p3","Float","","Conditional","notNull(qplot_ver)","QPLOT:MapRate_MQpass (%)","","",""
"qplot_p4","Float","","Conditional","notNull(qplot_ver)","QPLOT:TargetMapping (%)","","",""
"qplot_p5","Float","","Conditional","notNull(qplot_ver)","QPLOT:ZeroMapQual (%)","","",""
"qplot_p6","Float","","Conditional","notNull(qplot_ver)","QPLOT:MapQual<10*%)","","",""
"qplot_p7","Float","","Conditional","notNull(qplot_ver)","QPLOT:PairedReads (%)","","",""
"qplot_p8","Float","","Conditional","notNull(qplot_ver)","QPLOT:ProperPaired (%)","","",""
"qplot_p9","Float","","Conditional","notNull(qplot_ver)","QPLOT:MappedBases (%)","","",""
"qplot_p10","Float","","Conditional","notNull(qplot_ver)","QPLOT:Q20Bases (%)","","",""
"qplot_p11","Float","","Conditional","notNull(qplot_ver)","QPLOT:Q20BasesPct (%)","","",""
"qplot_p12","Float","","Conditional","notNull(qplot_ver)","QPLOT:MeanDepth","","",""
"qplot_p13","Float","","Conditional","notNull(qplot_ver)","QPLOT:GenomeCover (%)","","",""
"qplot_p14","Float","","Conditional","notNull(qplot_ver)","QPLOT:EPS_MSE","","",""
"qplot_p15","Float","","Conditional","notNull(qplot_ver)","QPLOT:EPS_Cycle_Mean","","",""
"qplot_p16","Float","","Conditional","notNull(qplot_ver)","QPLOT:GCBiasMSE","","",""
"qplot_p17","Float","","Conditional","notNull(qplot_ver)","QPLOT:ISize_mode","","",""
"qplot_p18","Float","","Conditional","notNull(qplot_ver)","QPLOT:ISize_medium","","",""
"qplot_p19","Float","","Conditional","notNull(qplot_ver)","QPLOT:DupRate(%)","","",""
"qplot_p20","Float","","Conditional","notNull(qplot_ver)","QPLOT:QCFailRate(%)","","",""
"qplot_p21","Float","","Conditional","notNull(qplot_ver)","QPLOT:BaseComp_A(%)","","",""
"qplot_p22","Float","","Conditional","notNull(qplot_ver)","QPLOT:BaseComp_C(%)","","",""
"qplot_p23","Float","","Conditional","notNull(qplot_ver)","QPLOT:BaseComp_G(%)","","",""
"qplot_p24","Float","","Conditional","notNull(qplot_ver)","QPLOT:BaseComp_T(%)","","",""
"qplot_p25","Float","","Conditional","notNull(qplot_ver)","QPLOT:BaseComp_O(%)","","",""
"picard_ver","String","50","Recommended","","PICARD Software version","","",""
"picard_p1","String","20","Conditional","notNull(picard_ver)","PICARD:Library","","",""
"picard_p2","Float","","Conditional","notNull(picard_ver)","PICARD:Unpaired_Reads_Examined","","",""
"picard_p3","Float","","Conditional","notNull(picard_ver)","PICARD:Read_Pairs_Examined","","",""
"picard_p4","Float","","Conditional","notNull(picard_ver)","PICARD:Unmapped_Reads","","",""
"picard_p5","Float","","Conditional","notNull(picard_ver)","PICARD:Unpaired_Read_Duplicates","","",""
"picard_p6","Float","","Conditional","notNull(picard_ver)","PICARD:Read_Pair_Duplicates","","",""
"picard_p7","Float","","Conditional","notNull(picard_ver)","PICARD:Read_Pair_Optical_Duplicates","","",""
"picard_p8","Float","","Conditional","notNull(picard_ver)","PICARD:Percent_Duplication","","",""
"picard_p9","Float","","Conditional","notNull(picard_ver)","PICARD:Estimated_Libarary_Size","","",""
"samtools_ver","String","50","Recommended","","samtools version","","",""
"samtools_p1","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools): in total (QC-Passed + QC Failed)","","",""
"samtools_p2","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):Duplicates","","",""
"samtools_p3","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):Mapped","","",""
"samtools_p4","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):Paired","","",""
"samtools_p5","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):Read1","","",""
"samtools_p6","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):Read2","","",""
"samtools_p7","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):Properly paired","","",""
"samtools_p8","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):with itself and mate mapped","","",""
"samtools_p9","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):singletons","","",""
"samtools_p10","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):with mate mapped to a different chr","","",""
"samtools_p11","Float","","Conditional","notNull(samtools_ver)","FlagStat(samtools):with mate mapped to a different chr (mapQ>=5)","","",""
"samtools_p12","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr1, sequence length""","","",""
"samtools_p13","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr1, mapped reads""","","",""
"samtools_p14","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr1, unmapped reads""","","",""
"samtools_p15","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr2, sequence length""","","",""
"samtools_p16","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr2, mapped reads""","","",""
"samtools_p17","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr2, unmapped reads""","","",""
"samtools_p18","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr3, sequence length""","","",""
"samtools_p19","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr3, mapped reads""","","",""
"samtools_p20","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr3, unmapped reads""","","",""
"samtools_p21","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr4, sequence length""","","",""
"samtools_p22","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr4, mapped reads""","","",""
"samtools_p23","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr4, unmapped reads""","","",""
"samtools_p24","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr5, sequence length""","","",""
"samtools_p25","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr5, mapped reads""","","",""
"samtools_p26","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr5, unmapped reads""","","",""
"samtools_p27","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr6, sequence length""","","",""
"samtools_p28","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr6, mapped reads""","","",""
"samtools_p29","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr6, unmapped reads""","","",""
"samtools_p30","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr7, sequence length""","","",""
"samtools_p31","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr7, mapped reads""","","",""
"samtools_p32","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr7, unmapped reads""","","",""
"samtools_p33","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr8, sequence length""","","",""
"samtools_p34","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr8, mapped reads""","","",""
"samtools_p35","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr8, unmapped reads""","","",""
"samtools_p36","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr9, sequence length""","","",""
"samtools_p37","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr9, mapped reads""","","",""
"samtools_p38","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr9, unmapped reads""","","",""
"samtools_p39","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr10, sequence length""","","",""
"samtools_p40","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr10, mapped reads""","","",""
"samtools_p41","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr10, unmapped reads""","","",""
"samtools_p42","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr11, sequence length""","","",""
"samtools_p43","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr11, mapped reads""","","",""
"samtools_p44","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr11, unmapped reads""","","",""
"samtools_p45","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr12, sequence length""","","",""
"samtools_p46","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr12, mapped reads""","","",""
"samtools_p47","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr12, unmapped reads""","","",""
"samtools_p48","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr13, sequence length""","","",""
"samtools_p49","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr13, mapped reads""","","",""
"samtools_p50","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr13, unmapped reads""","","",""
"samtools_p51","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr14, sequence length""","","",""
"samtools_p52","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr14, mapped reads""","","",""
"samtools_p53","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr14, unmapped reads""","","",""
"samtools_p54","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr15, sequence length""","","",""
"samtools_p55","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr15, mapped reads""","","",""
"samtools_p56","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr15, unmapped reads""","","",""
"samtools_p57","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr16, sequence length""","","",""
"samtools_p58","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr16, mapped reads""","","",""
"samtools_p59","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr16, unmapped reads""","","",""
"samtools_p60","Float","","Conditional","notNull(samtools_ver)","""idxstats(samtools):Reference: Chr17, sequence length""","","",""
